iter	Passed	Remaining
488	1752	1831
489	1755	1827
490	1758	1823
491	1761	1819
492	1765	1815
493	1769	1812
494	1771	1807
495	1774	1802
496	1776	1798
497	1779	1793
498	1781	1789
499	1784	1784
500	1786	1779
501	1789	1775
502	1791	1770
503	1794	1765
504	1796	1761
505	1799	1756
506	1802	1752
507	1804	1747
508	1806	1742
509	1810	1739
510	1813	1734
511	1815	1730
512	1818	1726
513	1820	1721
514	1823	1716
515	1825	1712
516	1828	1707
517	1830	1703
518	1833	1698
519	1836	1694
520	1838	1690
521	1841	1686
522	1843	1681
523	1846	1677
524	1848	1672
525	1851	1668
526	1854	1664
527	1856	1660
528	1859	1655
529	1862	1651
530	1864	1647
531	1868	1643
532	1872	1640
533	1875	1637
534	1881	1635
535	1885	1632
536	1887	1627
537	1890	1623
538	1893	1619
539	1895	1614
540	1898	1610
541	1901	1606
542	1903	1602
543	1906	1597
544	1909	1593
545	1911	1589
546	1913	1585
547	1916	1580
548	1919	1576
549	1921	1572
550	1924	1568
551	1927	1564
552	1931	1561
553	1934	1557
554	1938	1554
555	1942	1550
556	1945	1547
557	1948	1543
558	1952	1540
559	1956	1537
560	1959	1533
561	1963	1530
562	1966	1526
563	1970	1523
564	1974	1519
565	1977	1516
566	1981	1513
567	1984	1509
568	1988	1506
569	1992	1503
570	1996	1499
571	1999	1496
572	2004	1493
573	2007	1490
574	2013	1488
575	2016	1484
576	2021	1481
577	2024	1478
578	2029	1475
579	2033	1472
580	2037	1469
581	2042	1467
582	2046	1463
583	2053	1462
584	2058	1460
585	2061	1456
586	2066	1454
587	2070	1450
588	2075	1448
589	2077	1444
590	2081	1440
591	2085	1437
592	2089	1433
593	2091	1429
594	2095	1426
595	2099	1422
596	2102	1419
597	2106	1415
598	2108	1411
599	2112	1408
600	2116	1405
601	2120	1402
602	2125	1399
603	2128	1395
604	2132	1391
605	2135	1388
606	2138	1384
607	2142	1381
608	2145	1377
609	2149	1374
610	2152	1370
611	2154	1366
612	2158	1362
613	2161	1358
614	2164	1355
615	2167	1351
616	2170	1347
617	2174	1343
618	2177	1340
619	2181	1337
620	2185	1333
621	2188	1329
622	2191	1326
623	2195	1322
624	2200	1320
625	2204	1317
626	2208	1313
627	2211	1310
628	2214	1306
629	2216	1302
630	2219	1297
631	2221	1293
632	2224	1289
633	2227	1285
634	2230	1281
635	2232	1277
636	2236	1274
637	2239	1270
638	2242	1266
639	2244	1262
640	2247	1258
641	2249	1254
642	2252	1250
643	2255	1246
644	2259	1243
645	2261	1239
646	2264	1235
647	2267	1231
648	2269	1227
649	2272	1223
650	2275	1219
651	2278	1215
652	2280	1211
653	2283	1207
654	2285	1203
655	2288	1199
656	2291	1196
657	2293	1192
658	2296	1188
659	2299	1184
660	2301	1180
661	2304	1176
662	2307	1172
663	2310	1168
664	2312	1165
665	2315	1161
666	2317	1157
667	2320	1153
668	2323	1149
669	2326	1145
670	2328	1141
671	2331	1137
672	2334	1134
673	2336	1130
674	2339	1126
675	2342	1122
676	2345	1118
677	2348	1115
678	2352	1111
679	2355	1108
680	2358	1104
681	2361	1100
682	2365	1097
683	2367	1093
684	2371	1090
685	2373	1086
686	2376	1082
687	2378	1078
688	2381	1075
689	2384	1071
690	2386	1067
691	2389	1063
692	2391	1059
693	2394	1055
694	2397	1051
695	2399	1048
696	2402	1044
697	2404	1040
698	2407	1036
699	2409	1032
700	2412	1028
701	2414	1025
702	2417	1021
703	2420	1017
704	2422	1013
705	2426	1010
706	2428	1006
707	2431	1002
708	2435	999
709	2438	995
710	2440	992
711	2443	988
712	2445	984
713	2448	980
714	2451	977
715	2454	973
716	2457	970
717	2460	966
718	2462	962
719	2466	959
720	2469	955
721	2471	951
722	2475	948
723	2478	944
724	2482	941
725	2485	938
726	2489	934
727	2492	931
728	2495	927
729	2498	924
730	2501	920
731	2504	917
732	2507	913
733	2511	910
734	2514	906
735	2516	902
736	2520	899
737	2526	896
738	2530	893
739	2535	890
740	2539	887
741	2543	884
742	2546	880
743	2549	877
744	2553	873
745	2556	870
746	2559	866
747	2562	863
748	2565	859
749	2568	856
750	2572	853
751	2575	849
752	2578	845
753	2581	842
754	2584	838
755	2587	835
756	2590	831
757	2592	827
758	2596	824
759	2599	820
760	2602	817
761	2605	813
762	2608	810
763	2612	806
764	2615	803
765	2618	799
766	2622	796
767	2624	792
768	2628	789
769	2632	786
770	2636	783
771	2640	779
772	2645	776
773	2647	773
774	2651	769
775	2654	766
776	2658	763
777	2662	759
778	2665	756
779	2668	752
780	2670	748
781	2675	745
782	2678	742
783	2681	738
784	2684	735
785	2687	731
786	2690	728
787	2693	724
788	2697	721
789	2700	717
790	2704	714
791	2707	710
792	2709	707
793	2713	703
794	2716	700
795	2719	696
796	2721	693
797	2724	689
798	2727	686
799	2730	682
800	2733	679
801	2735	675
802	2738	671
803	2741	668
804	2743	664
805	2746	661
806	2749	657
807	2751	653
808	2754	650
809	2757	646
810	2760	643
811	2762	639
812	2765	636
813	2768	632
814	2770	628
815	2773	625
816	2775	621
817	2778	618
818	2780	614
819	2783	610
820	2786	607
821	2788	603
822	2791	600
823	2794	596
824	2797	593
825	2799	589
826	2802	586
827	2806	582
828	2809	579
829	2812	576
830	2814	572
831	2817	568
832	2819	565
833	2822	561
834	2825	558
835	2828	554
836	2831	551
837	2834	547
838	2837	544
839	2840	541
840	2843	537
841	2846	534
842	2848	530
843	2851	527
844	2853	523
845	2856	519
846	2859	516
847	2861	512
848	2864	509
849	2866	505
850	2868	502
851	2871	498
852	2873	495
853	2876	491
854	2878	488
855	2881	484
856	2883	481
857	2886	477
858	2888	474
859	2891	470
860	2893	467
861	2896	463
862	2898	460
863	2901	456
864	2903	453
865	2906	449
866	2908	446
867	2910	442
868	2913	439
869	2915	435
870	2918	432
871	2920	428
872	2923	425
873	2925	421
874	2928	418
875	2931	414
876	2933	411
877	2935	407
878	2938	404
879	2941	401
880	2943	397
881	2945	394
882	2948	390
883	2950	387
884	2953	383
885	2956	380
886	2960	377
887	2964	373
888	2967	370
889	2970	367
890	2974	363
891	2977	360
892	2981	357
893	2983	353
894	2986	350
895	2990	347
896	2993	343
897	2996	340
898	2999	337
899	3003	333
900	3006	330
901	3009	326
902	3012	323
903	3016	320
904	3019	316
905	3022	313
906	3024	310
907	3028	306
908	3031	303
909	3034	300
910	3037	296
911	3040	293
912	3044	290
913	3046	286
914	3050	283
915	3052	279
916	3056	276
917	3059	273
918	3062	269
919	3065	266
920	3069	263
921	3072	259
922	3075	256
923	3084	253
924	3089	250
925	3094	247
926	3098	243
927	3102	240
928	3105	237
929	3108	233
930	3111	230
931	3114	227
932	3116	223
933	3119	220
934	3121	217
935	3124	213
936	3126	210
937	3129	206
938	3131	203
939	3134	200
940	3136	196
941	3139	193
942	3141	189
943	3144	186
944	3146	183
945	3148	179
946	3151	176
947	3154	173
948	3156	169
949	3159	166
950	3161	162
951	3164	159
952	3166	156
953	3169	152
954	3171	149
955	3175	146
956	3178	142
957	3180	139
958	3183	136
959	3185	132
960	3188	129
961	3190	126
962	3193	122
963	3195	119
964	3198	116
965	3201	112
966	3203	109
967	3206	105
968	3209	102
969	3211	99
970	3214	96
971	3216	92
972	3219	89
973	3221	86
974	3224	82
975	3226	79
976	3229	76
977	3231	72
978	3234	69
979	3236	66
980	3239	62
981	3241	59
982	3243	56
983	3246	52
984	3248	49
985	3251	46
986	3253	42
987	3256	39
988	3258	36
989	3260	32
990	3263	29
991	3265	26
992	3268	23
993	3270	19
994	3272	16
995	3275	13
996	3278	9
997	3280	6
998	3283	3
999	3285	0
