iter	Logloss
0	0.6822156624
1	0.676566446
2	0.6646468066
3	0.6552012509
4	0.6497162268
5	0.644842648
6	0.6354370653
7	0.6266620352
8	0.6196492122
9	0.6124971938
10	0.605898122
11	0.6011196537
12	0.5942152031
13	0.5886178277
14	0.5847791919
15	0.5795231865
16	0.5750513516
17	0.5719420674
18	0.567093602
19	0.5623694973
20	0.5571511273
21	0.5550140171
22	0.5504853571
23	0.547452944
24	0.5452203898
25	0.5412375781
26	0.5369089979
27	0.5349354414
28	0.5314773955
29	0.5279955286
30	0.5247699839
31	0.5228958166
32	0.5196844988
33	0.5182688674
34	0.5152656737
35	0.5134378262
36	0.5109255452
37	0.5074387531
38	0.5050892334
39	0.5025049285
40	0.5015471135
41	0.4992158801
42	0.4970217015
43	0.494813605
44	0.4927319646
45	0.4902310567
46	0.488708558
47	0.4866484824
48	0.4845807195
49	0.4827044367
50	0.4815534331
51	0.4807508514
52	0.47965527
53	0.4778379286
54	0.4767542629
55	0.4749776558
56	0.4728491515
57	0.471974898
58	0.4708476814
59	0.4699979015
60	0.4682017232
61	0.4672525749
62	0.4657232449
63	0.4642746209
64	0.463035515
65	0.4623469361
66	0.4610914435
67	0.4596679395
68	0.4582256864
69	0.4575342185
70	0.4569734279
71	0.4558465598
72	0.4549318028
73	0.4536581564
74	0.4530965774
75	0.4519734424
76	0.4511127471
77	0.4498583552
78	0.4489096795
79	0.4479323639
80	0.4473014656
81	0.4467039122
82	0.4460473637
83	0.4450656054
84	0.4441462334
85	0.4436495812
86	0.4430878156
87	0.4423005464
88	0.4418227115
89	0.4411766115
90	0.4406471999
91	0.4396521967
92	0.4390766798
93	0.4378902034
94	0.4370693345
95	0.4362351068
96	0.4353143346
97	0.4345566399
98	0.43408625
99	0.4332663237
100	0.4325959806
101	0.4320888778
102	0.4313146974
103	0.4309867945
104	0.4304302146
105	0.4299526522
106	0.4294631931
107	0.428226949
108	0.4275525192
109	0.4268004521
110	0.4260700035
111	0.4256199947
112	0.42522912
113	0.4245896997
114	0.4241056382
115	0.4235312444
116	0.4232904153
117	0.4225481972
118	0.4222422313
119	0.4218196966
120	0.4212929543
121	0.4208909923
122	0.4208343405
123	0.420173837
124	0.4179204586
125	0.4175597417
126	0.4172355955
127	0.4169403665
128	0.4164648356
129	0.4160902342
130	0.4156098429
131	0.4148092067
132	0.4143425592
133	0.4136831905
134	0.4133022377
135	0.4129668242
136	0.4127043726
137	0.4123413086
138	0.4120009501
139	0.41170691
140	0.4112361157
141	0.410961842
142	0.4106817788
143	0.410161679
144	0.4097676741
145	0.4095348209
146	0.4092426309
147	0.408727428
148	0.4081742924
149	0.4075310118
150	0.4071776463
151	0.4067229514
152	0.4065149763
153	0.4060245935
154	0.4057492831
155	0.4054030547
156	0.4046840675
157	0.4040649384
158	0.403880718
159	0.4035451784
160	0.403278352
161	0.4029182097
162	0.4024664078
163	0.4022478298
164	0.4019662406
165	0.401583753
166	0.4013712344
167	0.4011169551
168	0.4008055371
169	0.4006174255
170	0.4003246828
171	0.4000929037
172	0.3996583228
173	0.3994194411
174	0.3991577128
175	0.3989040864
176	0.3986959991
177	0.3985348725
178	0.3983827192
179	0.3980448097
180	0.3977760617
181	0.3975393659
182	0.3973766903
183	0.3970464512
184	0.3968584376
185	0.3966118573
186	0.3962036451
187	0.3957522597
188	0.3955244549
189	0.3951286461
190	0.3948459584
191	0.394704448
192	0.3945263987
193	0.3943103058
194	0.3938282623
195	0.3935398916
196	0.3933172024
197	0.3928928215
198	0.3926804828
199	0.3922848768
200	0.3921150128
201	0.3918009853
202	0.391567288
203	0.3914237183
204	0.3912514525
205	0.3911144073
206	0.3907981092
207	0.3905565973
208	0.390198921
209	0.3899804228
210	0.3895279147
211	0.3892807721
212	0.388766425
213	0.3885522901
214	0.3881817061
215	0.3879511307
216	0.3877065506
217	0.3875377526
218	0.3871811566
219	0.3869284732
220	0.3867373917
221	0.3865286963
222	0.3860633788
223	0.3856881099
224	0.3855291516
225	0.3853573494
226	0.3852021824
227	0.3851126614
228	0.3849229145
229	0.3847513309
230	0.3844556061
231	0.384189617
232	0.3839517054
233	0.3836601659
234	0.3833686782
235	0.3829354222
236	0.3828348839
237	0.3825635918
238	0.3823461853
239	0.3821594561
240	0.381850789
241	0.3816061938
242	0.3813428537
243	0.3810691193
244	0.3807753503
245	0.3806463983
246	0.3805185495
247	0.3804290853
248	0.3799642271
249	0.3797796246
250	0.3793344146
251	0.3791839073
252	0.3790319185
253	0.3788281573
254	0.3786299193
255	0.378441752
256	0.3781682652
257	0.3779171237
258	0.3777638568
259	0.3773280985
260	0.3771259743
261	0.3769871324
262	0.3767904756
263	0.3766306469
264	0.3764675796
265	0.3762491186
266	0.3760801126
267	0.3758908063
268	0.3757690072
269	0.3755494148
270	0.3751847441
271	0.3749998375
272	0.3748314208
273	0.3734574263
274	0.3732805172
275	0.3731693626
276	0.3729998059
277	0.3728128849
278	0.3723932359
279	0.3721924844
280	0.3720970005
281	0.3719085023
282	0.3717942996
283	0.3717028872
284	0.3716303796
285	0.3715042508
286	0.3713013843
287	0.371102484
288	0.3709632897
289	0.3708399776
290	0.3707111166
291	0.3705280546
292	0.3701992592
293	0.3700066275
294	0.3696636505
295	0.3692456402
296	0.3690431506
297	0.3689550158
298	0.3688579786
299	0.368577111
300	0.3684763931
301	0.3681516136
302	0.368046998
303	0.367721315
304	0.3675736297
305	0.3673191768
306	0.3671382845
307	0.3670082355
308	0.3669194042
309	0.3667266911
310	0.3666072105
311	0.3664567237
312	0.3662528799
